Caption,Name,ClassName,ParentNode,Contain,Left,Top,Width,Height,FontName,Color,Type,EventName,EventCount,EventProcedures,ValidationRules,LabelCount,TextboxCount,inputboxcount,ButtonCount,DateCount,CalendarCount,PanelCount,FloatCount,CheckboxCount,ListBoxCount,SpecButonCount,ComboBoxCount,StatusBarCount
Awaiting Confirmation,tabINCOMPLETE,TTabSheet,MainPageControl,"grdIncompleteItems, grdIncompleteItemsa",,,,,,,tabpage,tabINCOMPLETEShow,1,"RefreshListing (grdIncompleteItems, 'sql_listing_incomplete');","1.  Items displayed in `grdIncompleteItems` must conform to the criteria defined by the 'sql_listing_incomplete' query, identifying them as incomplete.",0,0,0,0,0,0,0,0,0,0,0,0,0
,grdIncompleteItems,TStringSortGrid,Awaiting Confirmation,,0,0,581,312,,,tstringsortgrid,,0,,,,,,,,,,,,,,,
,grdIncompleteItemsa,TStringAlignGrid,Awaiting Confirmation,,352,50,125,177,Courier New,clWindowText,tstringaligngrid,,0,,,,,,,,,,,,,,,
Reports,tabREPORTS,TTabSheet,MainPageControl,"lstREPORTS, Panel2",,,,,,,tabpage,,0,,,1,0,0,0,0,1,1,0,0,1,2,0,0
,lstREPORTS,TListBox,Reports,,0,33,581,279,Courier New,clWindowText,tlistbox,,0,,,,,,,,,,,,,,,
,Panel2,TPanel,Reports,"Business Date, btnPRINTRPT, btnVIEWRPT, edtPRINTSTACSDATE",0,0,581,33,,,tpanel,,0,,,,,,,,,,,,,,,
Business Date,Label21,TLabel,Panel2,,4,8,85,16,,,label,,0,,,,,,,,,,,,,,,
,btnPRINTRPT,TSpeedButton,Panel2,,236,4,27,25,,,tspeedbutton,btnPRINTRPTClick,1,"if (lstREPORTS.ItemIndex = -1) then exit;
  if Sender = btnPRINTRPT
  then PrintReport (lstREPORTS.Items [lstREPORTS.ItemIndex], True)
  else PrintReport (lstREPORTS.Items [lstREPORTS.ItemIndex], False);","1 Report selection required: An item must be selected from the list of reports (lstREPORTS).
2 Valid report identifier: The selected report item, passed to the PrintReport function, must represent a valid report that the function can process.",,,,,,,,,,,,,
,btnVIEWRPT,TSpeedButton,Panel2,,270,4,27,25,,,tspeedbutton,btnPRINTRPTClick,1,"if (lstREPORTS.ItemIndex = -1) then exit;
  if Sender = btnPRINTRPT
  then PrintReport (lstREPORTS.Items [lstREPORTS.ItemIndex], True)
  else PrintReport (lstREPORTS.Items [lstREPORTS.ItemIndex], False);",1 List selection required: An item must be selected in the `lstREPORTS` list box.,,,,,,,,,,,,,
,edtPRINTSTACSDATE,TDateTimePicker,Panel2,,102,4,109,24,,,calendar,,0,,,,,,,,,,,,,,,
System Control,tabSYSCONTROL,TTabSheet,MainPageControl,"pnlSYSCTL, pnlDEPTSYSLIST",,,,,,,tabpage,tabSYSCONTROLShow,1,Procedure not found,,5,0,1,2,0,0,3,0,0,0,0,1,0
,pnlSYSCTL,TPanel,System Control,"DATE, VERIFY DATE, CURRENT DATE, DEPT / SECTION, edtCLOSEDATE, Completed All Entries (CLOSE SYSTEM), cboSECTION",2,6,357,169,,,tpanel,,0,,,,,,,,,,,,,,,
DATE,lblCURRDATE,TLabel,pnlSYSCTL,,140,46,34,16,Arial,clNavy,label,,0,,,,,,,,,,,,,,,
VERIFY DATE,Label22,TLabel,pnlSYSCTL,,20,74,85,16,,,label,,0,,,,,,,,,,,,,,,
CURRENT DATE,Label25,TLabel,pnlSYSCTL,,20,46,99,16,,,label,,0,,,,,,,,,,,,,,,
DEPT / SECTION,Label26,TLabel,pnlSYSCTL,,20,12,102,16,,,label,,0,,,,,,,,,,,,,,,
,edtCLOSEDATE,LWEnhancedEdit,pnlSYSCTL,,140,70,193,24,,,dAny,,0,,,,,,,,,,,,,,,
Completed All Entries (CLOSE SYSTEM),btnCLOSE,TButton,pnlSYSCTL,,52,117,259,29,,,button,btnCLOSEClick,1,Procedure not found,,,,,,,,,,,,,,
,cboSECTION,TComboBox,pnlSYSCTL,,140,9,195,24,,,tcombobox,,0,,,,,,,,,,,,,,,
,pnlDEPTSYSLIST,TPanel,System Control,"grdDEPTSYSCTL, grdDEPTSYSCTLa, Panel8",374,2,521,268,,,tpanel,,0,,,,,,,,,,,,,,,
,grdDEPTSYSCTL,TStringSortGrid,pnlDEPTSYSLIST,,4,4,513,225,,,tstringsortgrid,,0,,,,,,,,,,,,,,,
,grdDEPTSYSCTLa,TStringAlignGrid,pnlDEPTSYSLIST,,396,21,69,73,Courier New,clWindowText,tstringaligngrid,,0,,,,,,,,,,,,,,,
,Panel8,TPanel,pnlDEPTSYSLIST,"Double click on cell to OPEN/CLOSE, Refresh",4,229,513,35,,,tpanel,,0,,,,,,,,,,,,,,,
Double click on cell to OPEN/CLOSE,Label29,TLabel,Panel8,,106,10,219,16,Arial,clWindowText,label,,0,,,,,,,,,,,,,,,
Refresh,btnREFRESHDEPTLIST,TButton,Panel8,,5,8,75,21,,,button,btnREFRESHDEPTLISTClick,1,tabSYSCONTROLShow (nil);,1. Data population requirement: Any data fields or properties that are to be displayed or managed by the system controls on the tab must be populated with valid values when tabSYSCONTROLShow is executed.,,,,,,,,,,,,,
,StatusBar1,TStatusBar,Position Reporting Entry,,0,337,572,19,,,tstatusbar,,0,,,,,,,,,,,,,,,
,pnlDBCONFIG,TPanel,Position Reporting Entry,"Connection String, Driver, Attributes, Userid, Password,   Database Configuration, memCONNSTRING, edtDRIVER, edtATTRIBS, edtUSERID, edtPASSWORD, Close, OK",594,8,457,189,,,tpanel,,0,,,,,,,,,,,,,,,
Connection String,Label3,TLabel,pnlDBCONFIG,,12,98,103,16,,,label,,0,,,,,,,,,,,,,,,
Driver,Label13,TLabel,pnlDBCONFIG,,10,28,32,16,,,label,,0,,,,,,,,,,,,,,,
Attributes,Label14,TLabel,pnlDBCONFIG,,10,50,56,16,,,label,,0,,,,,,,,,,,,,,,
Userid,Label15,TLabel,pnlDBCONFIG,,10,74,37,16,,,label,,0,,,,,,,,,,,,,,,
Password,Label16,TLabel,pnlDBCONFIG,,198,74,57,16,,,label,,0,,,,,,,,,,,,,,,
  Database Configuration,Panel3,TPanel,pnlDBCONFIG,,3,3,451,20,Arial,clNavy,tpanel,,0,,,,,,,,,,,,,,,
,memCONNSTRING,TMemo,pnlDBCONFIG,,12,116,367,63,Courier New,clWindowText,tmemo,,0,,,,,,,,,,,,,,,
,edtDRIVER,TEdit,pnlDBCONFIG,,78,28,297,18,Courier New,clWindowText,textbox,,0,,,,,,,,,,,,,,,
,edtATTRIBS,TEdit,pnlDBCONFIG,,78,50,297,18,Courier New,clWindowText,textbox,,0,,,,,,,,,,,,,,,
,edtUSERID,TEdit,pnlDBCONFIG,,78,72,109,18,Courier New,clWindowText,textbox,,0,,,,,,,,,,,,,,,
,edtPASSWORD,TEdit,pnlDBCONFIG,,262,72,113,18,Courier New,clWindowText,textbox,,0,,,,,,,,,,,,,,,
